                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0968,                0.87376,                 1.2815,                0.86735,                0.74524,                0.83714,                0.54923,                 1.1909,                0.78466,                 1.2839,             0.00099477,             0.00099477,             0.00099477
                     36,                 1.0781,                0.86803,                 1.2774,                0.85348,                0.74894,                0.83438,                0.55251,                 1.1754,                0.76898,                 1.2789,             0.00096431,             0.00096431,             0.00096431
                     37,                 1.0761,                0.85141,                  1.272,                0.84148,                0.76589,                0.84467,                 0.5551,                 1.1602,                0.74999,                 1.2672,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0661,                0.84223,                 1.2638,                0.86083,                0.74762,                0.84125,                0.55693,                 1.1605,                 0.7479,                 1.2625,             0.00090338,             0.00090338,             0.00090338
                     39,                 1.0552,                 0.8259,                 1.2525,                0.87147,                0.75333,                0.84947,                  0.566,                  1.138,                0.74188,                 1.2509,             0.00087292,             0.00087292,             0.00087292
                     40,                 1.0393,                0.81339,                 1.2439,                0.87376,                0.75619,                0.84783,                 0.5671,                  1.141,                0.73198,                 1.2508,             0.00084246,             0.00084246,             0.00084246
                     41,                 1.0337,                 0.8043,                 1.2426,                0.85918,                0.76762,                0.85341,                0.57231,                 1.1349,                0.71791,                 1.2439,               0.000812,               0.000812,               0.000812
                     42,                  1.022,                0.79441,                 1.2374,                0.88054,                0.75816,                 0.8568,                 0.5725,                 1.1319,                0.71548,                 1.2472,             0.00078154,             0.00078154,             0.00078154
                     43,                 1.0137,                0.78022,                 1.2258,                0.86755,                0.76476,                0.85258,                0.57237,                  1.128,                0.71422,                  1.237,             0.00075108,             0.00075108,             0.00075108
                     44,                 1.0091,                0.78087,                 1.2243,                0.87471,                0.76095,                0.85702,                0.57512,                 1.1314,                0.71924,                 1.2417,             0.00072062,             0.00072062,             0.00072062
                     45,                0.99208,                0.75831,                 1.2114,                0.86748,                 0.7719,                0.85734,                0.57511,                 1.1278,                0.70827,                  1.236,             0.00069015,             0.00069015,             0.00069015
                     46,                  0.994,                  0.761,                 1.2122,                0.87455,                 0.7635,                0.85698,                0.57709,                 1.1221,                0.70577,                 1.2372,             0.00065969,             0.00065969,             0.00065969
                     47,                0.97219,                0.73694,                  1.196,                0.86072,                0.78275,                0.85965,                0.58367,                 1.1137,                0.69795,                 1.2313,             0.00062923,             0.00062923,             0.00062923
                     48,                0.96985,                0.73817,                  1.202,                0.88178,                0.77077,                0.85988,                0.58423,                 1.1088,                  0.697,                 1.2294,             0.00059877,             0.00059877,             0.00059877
                     49,                0.96419,                0.72812,                 1.1956,                0.87352,                 0.7827,                 0.8652,                0.58567,                 1.1061,                0.69689,                 1.2148,             0.00056831,             0.00056831,             0.00056831
                     50,                0.95284,                0.72039,                 1.1934,                0.87342,                0.78528,                0.86419,                0.58369,                 1.1088,                0.69105,                 1.2212,             0.00053785,             0.00053785,             0.00053785
                     51,                0.94099,                0.70538,                  1.181,                0.87702,                0.78048,                0.86501,                0.58697,                 1.0979,                0.68459,                 1.2174,             0.00050738,             0.00050738,             0.00050738
                     52,                0.93262,                0.70434,                 1.1795,                0.87967,                0.78672,                0.86277,                0.58584,                 1.1143,                0.69217,                 1.2295,             0.00047692,             0.00047692,             0.00047692
                     53,                0.92429,                0.69275,                 1.1704,                 0.8731,                0.77975,                0.86128,                0.58699,                  1.101,                 0.6814,                 1.2196,             0.00044646,             0.00044646,             0.00044646
                     54,                0.91984,                0.68329,                 1.1672,                0.87961,                0.77587,                 0.8622,                0.59371,                 1.0822,                0.67991,                 1.2082,               0.000416,               0.000416,               0.000416
                     55,                0.90898,                0.67572,                  1.162,                0.88009,                   0.78,                0.86343,                0.59075,                 1.0932,                0.68099,                 1.2196,             0.00038554,             0.00038554,             0.00038554
                     56,                0.88481,                0.55315,                 1.1382,                0.87871,                0.76584,                0.85954,                 0.5882,                 1.0942,                 0.6802,                 1.2153,             0.00035508,             0.00035508,             0.00035508
                     57,                0.85224,                0.52196,                 1.1131,                0.88911,                0.76619,                0.86225,                0.59149,                 1.0903,                0.67614,                 1.2159,             0.00032462,             0.00032462,             0.00032462
                     58,                 0.8375,                0.51285,                 1.1064,                0.88551,                0.76609,                0.85943,                0.59208,                 1.0876,                0.68678,                 1.2147,             0.00029415,             0.00029415,             0.00029415
                     59,                 0.8135,                 0.4961,                  1.089,                0.88727,                0.77583,                0.86195,                0.59357,                   1.09,                0.67747,                 1.2237,             0.00026369,             0.00026369,             0.00026369
                     60,                0.80579,                0.49113,                 1.0857,                 0.8879,                0.76905,                0.85944,                0.59247,                 1.0793,                0.67127,                 1.2152,             0.00023323,             0.00023323,             0.00023323
                     61,                0.79452,                0.48589,                 1.0814,                0.88006,                0.78286,                0.86251,                0.59545,                 1.0787,                0.66608,                 1.2181,             0.00020277,             0.00020277,             0.00020277
                     62,                0.78227,                0.47569,                 1.0764,                0.87541,                0.78476,                0.86376,                0.59828,                  1.075,                0.66311,                 1.2153,             0.00017231,             0.00017231,             0.00017231
                     63,                 0.7699,                0.46375,                 1.0665,                0.89037,                0.78286,                0.86263,                0.59743,                 1.0778,                0.66748,                 1.2181,             0.00014185,             0.00014185,             0.00014185
                     64,                0.76293,                 0.4613,                 1.0603,                0.88929,                0.78143,                0.86375,                0.59838,                 1.0732,                0.66471,                 1.2156,             0.00011138,             0.00011138,             0.00011138
                     65,                0.76053,                0.45655,                 1.0566,                0.88604,                0.78286,                0.86284,                0.59708,                  1.075,                0.66098,                 1.2182,             8.0923e-05,             8.0923e-05,             8.0923e-05
